ssid,rssi,mac,lat,lng,alt,hdop,sat,calidad,timestamp,color
TP-Link_9858,-92,40:ED:00:01:98:58,-12.015135,-77.05172,124.4,0.81,10,Mala,2025-06-21T14:13:54.676572,red
Joselo2108,-92,16:1C:09:29:23:49,-12.015135,-77.05172,124.4,0.81,10,Mala,2025-06-21T14:13:55.091702,red
OREJASCATA 2.4,-92,FC:4D:A6:F9:A4:E4,-12.015135,-77.05172,124.4,0.81,10,Mala,2025-06-21T14:13:55.983700,red
Redmi Note 13 Pro,-95,DA:04:91:DD:2F:E7,-12.015135,-77.05172,124.4,0.81,10,Mala,2025-06-21T14:13:57.474313,red
TeleMallqui,-19,B2:A6:11:D3:04:F9,-12.015178,-77.051704,126.7,0.78,11,Buena,2025-06-21T14:14:01.715725,green
WIN,-85,44:3B:14:7D:6B:70,-12.015178,-77.051704,126.7,0.78,11,Mala,2025-06-21T14:14:03.481517,red
A15 de eduardo,-93,22:A4:9F:27:FF:56,-12.015178,-77.051704,126.7,0.78,11,Mala,2025-06-21T14:14:05.293226,red
TeleMallqui,-17,B2:A6:11:D3:04:F9,-12.015283,-77.051689,126.5,0.85,11,Buena,2025-06-21T14:14:12.315305,green
WIN,-87,44:3B:14:7D:6B:70,-12.015283,-77.051689,126.5,0.85,11,Mala,2025-06-21T14:14:15.955858,red
Lopez,-89,B0:CC:FE:37:29:E0,-12.015283,-77.051689,126.5,0.85,11,Mala,2025-06-21T14:14:18.129123,red
FIIS_Estudiantes,-91,00:42:68:95:86:F1,-12.015283,-77.051689,126.5,0.85,11,Mala,2025-06-21T14:14:20.045187,red
BLAS,-92,2C:96:82:9B:CA:80,-12.015283,-77.051689,126.5,0.85,11,Mala,2025-06-21T14:14:21.072277,red
WI_FIIS,-93,00:42:68:95:86:F3,-12.015283,-77.051689,126.5,0.85,11,Mala,2025-06-21T14:14:22.759078,red
EJERCITO,-93,F8:79:28:84:2B:24,-12.015283,-77.051689,126.5,0.85,11,Mala,2025-06-21T14:14:24.166173,red
OREJASCATA 2.4,-93,FC:4D:A6:F9:A4:E4,-12.015283,-77.051689,126.5,0.85,11,Mala,2025-06-21T14:14:24.757243,red
HONOR X8b,-94,6E:33:62:3D:92:4C,-12.015283,-77.051689,126.5,0.85,11,Mala,2025-06-21T14:14:25.366937,red
TeleMallqui,-15,B2:A6:11:D3:04:F9,-12.015286,-77.051689,126.5,0.8,10,Buena,2025-06-21T14:14:32.483475,green
CasaUNI_RyO,-81,90:16:BA:5A:94:A4,-12.015286,-77.051689,126.5,0.8,10,Mala,2025-06-21T14:14:33.553254,red
WIN,-87,44:3B:14:7D:6B:70,-12.015286,-77.051689,126.5,0.8,10,Mala,2025-06-21T14:14:36.061670,red
UNI_LIBRE_H,-89,C0:3F:DD:06:32:60,-12.015286,-77.051689,126.5,0.8,10,Mala,2025-06-21T14:14:36.936293,red
WI_FIIS,-90,00:A2:EE:DA:8B:43,-12.015286,-77.051689,126.5,0.8,10,Mala,2025-06-21T14:14:39.289651,red
TP-Link_9858,-91,40:ED:00:01:98:58,-12.015286,-77.051689,126.5,0.8,10,Mala,2025-06-21T14:14:39.700834,red
CUARTO PISO,-91,F0:A7:31:52:1E:D6,-12.015286,-77.051689,126.5,0.8,10,Mala,2025-06-21T14:14:40.296292,red
CasaUNI_RyO,-91,F4:E4:51:B5:51:F0,-12.015286,-77.051689,126.5,0.8,10,Mala,2025-06-21T14:14:41.340397,red
Win2023,-92,14:46:58:0D:29:48,-12.015286,-77.051689,126.5,0.8,10,Mala,2025-06-21T14:14:42.422286,red
